Country,Home Losses,Away Losses
ALA,9,0
AFG,15,42
ALB,71,108
GBA,7,9
DZA,59,93
ASM,18,23
AND,66,73
AGO,33,75
AIA,17,36
ATG,42,54
ARG,68,143
ARM,46,70
ABW,29,43
AUS,72,76
AUT,127,158
AZE,47,86
BHS,6,13
BHR,92,92
BGD,54,60
BRB,53,63
BLR,40,71
BEL,115,156
BLZ,17,32
BEN,47,88
BMU,34,38
BTN,18,50
BOL,89,156
BES,5,6
BIH,29,55
BWA,55,65
BRA,56,101
VGB,22,39
Origin,2,1
BRU,17,41
BGR,82,173
BFA,44,113
BUR,61,69
BDI,28,55
KHM,63,83
CMR,45,91
CAN,60,100
CPV,27,43
CYM,31,27
RCA,20,35
TCD,25,37
CHL,110,200
CHN,68,106
COL,73,112
COM,13,19
COG,52,97
COK,9,21
CRI,47,147
HRV,19,44
CUB,41,100
CYP,106,127
CZE,33,45
CSK,40,121
DNK,103,165
DJI,32,45
DMA,46,55
DOM,25,29
COD,45,109
TLS,11,33
ECU,73,162
EGY,74,93
SLV,97,127
GBR,81,114
GNQ,22,50
ERI,10,35
EST,104,142
SWZ,47,70
ETH,58,93
FLK,9,14
FRO,71,90
FJI,44,40
FIN,156,244
FRA,106,139
GUF,28,51
GAB,41,88
GMB,38,60
GEO,37,81
DEU,108,184
GHA,39,116
GIB,28,31
GRC,93,123
GRL,13,27
GRD,37,53
GLP,43,52
GUM,23,44
GTM,65,111
GGY,7,16
GIN,37,125
GNB,27,49
GUY,53,76
HTI,63,98
HND,60,108
HKG,94,81
HUN,98,194
ISL,86,136
IND,90,84
IDN,105,135
IRN,42,57
IRQ,44,94
IMN,5,11
ISR,81,95
ITA,49,104
CIV,35,106
JAM,78,136
JPN,90,93
JEY,3,13
JOR,50,88
KAZ,37,66
KEN,92,150
KIR,4,6
UNK,9,6
KWT,88,85
KGZ,22,57
LAO,34,72
LVA,77,114
LBN,44,76
LSO,52,72
LBR,41,81
LBY,35,93
LIE,70,88
LTU,67,131
LUX,163,154
MAC,38,54
MDG,34,56
MWI,88,113
MYS,97,145
MDV,30,56
MLI,40,132
MLT,139,144
MTQ,32,55
MRT,36,84
MUS,48,82
MYT,3,7
MEX,98,132
FSM,1,5
MDA,50,83
MCO,0,4
MNG,12,34
MNE,17,27
MSR,9,18
MAR,47,83
MOZ,42,87
MMR,3,6
NAM,31,76
NPL,41,70
NLD,81,128
NCL,36,44
NZL,42,109
NIC,27,88
NER,31,75
NGA,32,111
NIU,2,0
PRK,22,83
MKD,50,58
GBR,138,194
MNP,7,13
NOR,136,192
OMN,80,91
GBR,8,8
PAK,39,79
PLW,2,0
PSE,24,60
PAN,55,135
PNG,21,39
PRY,63,210
PER,94,176
PHL,39,89
POL,90,168
PRT,56,117
PRI,28,47
QAT,87,99
IRL,81,104
ROU,67,143
RUS,48,108
RWA,37,63
SHN,1,3
KNA,32,42
LCA,39,64
MAF,8,19
SPM,1,6
VCT,14,29
WSM,15,16
SMR,80,78
SAU,82,102
GBR,85,159
SEN,36,118
SRB,20,62
SYC,32,50
SLE,22,91
SGP,122,158
SXM,7,12
SVK,34,70
SVN,47,55
SLB,22,46
SOM,31,54
ZAF,43,68
KOR,79,107
SSD,8,19
ESP,49,81
LKA,44,82
SDN,51,114
SUR,33,81
SWE,99,194
CHE,138,206
SYR,38,115
PYF,29,44
TJK,21,40
TZA,81,150
THA,90,164
TLS,2,5
TGO,40,127
TON,13,23
TTO,69,168
TUN,55,115
TUR,82,128
TKM,15,48
TCA,6,13
TUV,6,19
VIR,18,23
UGA,52,138
UKR,23,46
ARE,78,106
USA,103,143
URY,60,226
UZB,21,76
VUT,30,66
VAT,1,3
VEN,64,139
VNM,47,86
GBR,119,188
WLF,1,18
ESH,1,2
YEM,44,94
YUG,45,114
ZMB,48,152
ZWE,37,105