team,home,away
Åland Islands,27,19
Afghanistan,40,71
Albania,176,161
Alderney,7,12
Algeria,293,218
American Samoa,24,24
Andorra,83,81
Angola,171,181
Anguilla,21,40
Antigua and Barbuda,109,87
Argentina,548,432
Armenia,109,117
Aruba,60,60
Australia,293,253
Austria,419,359
Azerbaijan,117,128
Bahamas,18,18
Bahrain,291,198
Bangladesh,115,93
Barbados,160,103
Belarus,114,136
Belgium,411,357
Belize,34,45
Benin,131,129
Bermuda,88,64
Bhutan,27,54
Bolivia,235,223
Bonaire,8,13
Bosnia and Herzegovina,104,116
Botswana,154,125
Brazil,568,413
British Virgin Islands,39,52
Brittany,9,3
Brunei,26,47
Bulgaria,299,373
Burkina Faso,184,204
Burma,217,124
Burundi,83,105
Cambodia,126,99
Cameroon,256,278
Canada,173,215
Cape Verde,90,76
Cayman Islands,55,36
Central African Republic,53,43
Chad,59,56
Chile,391,369
China PR,365,396
Colombia,261,289
Comoros,29,31
Congo,190,185
Cook Islands,17,26
Costa Rica,302,302
Croatia,153,165
Cuba,139,198
Cyprus,224,172
Czech Republic,145,152
Czechoslovakia,230,266
Denmark,404,391
Djibouti,41,47
Dominica,97,85
Dominican Republic,63,50
DR Congo,193,269
East Timor,15,36
Ecuador,233,279
Egypt,381,253
El Salvador,283,218
England,537,534
Equatorial Guinea,68,62
Eritrea,26,46
Estonia,250,252
Eswatini,115,115
Ethiopia,213,149
Falkland Islands,11,18
Faroe Islands,114,110
Fiji,146,75
Finland,330,414
France,504,371
French Guiana,71,86
Gabon,185,174
Gambia,122,91
Georgia,128,141
Germany,648,612
Ghana,285,315
Gibraltar,55,43
Greece,300,282
Greenland,30,43
Grenada,106,106
Guadeloupe,125,111
Guam,45,54
Guatemala,235,207
Guernsey,37,40
Guinea,198,268
Guinea-Bissau,75,72
Guyana,138,126
Haiti,226,223
Honduras,270,245
Hong Kong,245,144
Hungary,455,481
Iceland,210,238
India,237,167
Indonesia,330,223
Iran,280,219
Iraq,287,287
Isle of Man,30,36
Israel,243,185
Italy,471,376
Ivory Coast,273,292
Jamaica,289,275
Japan,370,257
Jersey,51,38
Jordan,209,183
Kárpátalja,5,5
Kazakhstan,93,105
Kenya,368,277
Kiribati,5,6
Kosovo,25,14
Kuwait,329,235
Kyrgyzstan,59,87
Laos,73,90
Latvia,189,204
Lebanon,136,137
Lesotho,130,118
Liberia,136,111
Libya,184,153
Liechtenstein,96,102
Lithuania,152,214
Luxembourg,222,180
Macau,62,66
Madagascar,117,105
Malawi,333,230
Malaysia,330,272
Maldives,80,79
Mali,217,282
Malta,222,181
Martinique,152,152
Mauritania,88,124
Mauritius,107,143
Mayotte,6,12
Mexico,513,356
Micronesia,2,5
Moldova,102,135
Monaco,4,8
Mongolia,26,47
Montenegro,56,51
Montserrat,15,25
Morocco,283,252
Mozambique,144,160
Myanmar,8,8
Namibia,107,122
Nepal,86,92
Netherlands,575,541
New Caledonia,133,94
New Zealand,145,217
Nicaragua,49,106
Niger,94,111
Nigeria,268,308
Niue,2,0
North Korea,126,214
North Macedonia,119,118
Northern Ireland,312,332
Northern Mariana Islands,10,14
Norway,406,417
Oman,269,181
Orkney,12,9
Pakistan,74,116
Palau,2,0
Palestine,69,117
Panama,196,232
Papua New Guinea,55,61
Paraguay,263,453
Peru,280,343
Philippines,101,131
Poland,392,437
Portugal,324,289
Puerto Rico,53,64
Qatar,315,218
Republic of Ireland,310,256
Romania,337,380
Russia,299,395
Rwanda,128,116
Saint Helena,1,3
Saint Kitts and Nevis,103,76
Saint Lucia,92,107
Saint Martin,18,26
Saint Pierre and Miquelon,1,6
Saint Vincent and the Grenadines,61,85
Samoa,32,19
San Marino,83,80
Saudi Arabia,368,255
Scotland,413,447
Senegal,220,309
Serbia,106,169
Seychelles,51,62
Sierra Leone,109,144
Singapore,293,263
Sint Maarten,17,17
Slovakia,133,158
Slovenia,121,126
Solomon Islands,76,94
Somalia,57,67
South Africa,223,177
South Korea,468,394
South Sudan,22,21
Spain,439,359
Sri Lanka,98,120
Sudan,176,228
Suriname,154,194
Sweden,506,542
Switzerland,404,393
Syria,148,256
Tahiti,94,116
Tajikistan,60,84
Tanzania,321,415
Thailand,331,308
Timor-Leste,3,6
Togo,154,232
Tonga,23,33
Trinidad and Tobago,304,361
Tunisia,300,281
Turkey,271,296
Turkmenistan,57,81
Turks and Caicos Islands,9,18
Tuvalu,11,23
U.S. Virgin Islands,22,32
Uganda,288,336
Ukraine,132,140
United Arab Emirates,294,227
United States,418,266
Uruguay,343,541
Uzbekistan,120,155
Vanuatu,63,111
Vatican City,2,4
Venezuela,163,218
Vietnam,172,207
Wales,350,367
Wallis Islands and Futuna,3,21
Western Sahara,3,2
Yemen,103,147
Yugoslavia,190,290
Zambia,300,418
Zimbabwe,192,269