Country,Total Wins,Total Losses
ALA,14,9
AFG,30,57
ALB,84,179
GBA,3,16
DZA,214,152
ASM,5,41
AND,6,139
AGO,121,108
AIA,3,53
ATG,62,96
ARG,526,211
ARM,51,116
ABW,21,72
AUS,257,148
AUT,323,285
AZE,47,133
BHS,11,19
BHR,164,184
BGD,50,114
BRB,88,116
BLR,76,111
BEL,333,271
BLZ,18,49
BEN,59,135
BMU,54,72
BTN,8,68
BOL,101,245
BES,7,11
BIH,88,84
BWA,75,120
BRA,625,157
VGB,16,61
Origin,6,3
BRU,10,58
BGR,250,255
BFA,123,157
BUR,151,130
BDI,58,83
KHM,48,146
CMR,232,136
CAN,134,160
CPV,58,70
CYM,19,58
RCA,20,55
TCD,25,62
CHL,290,310
CHN,287,174
COL,214,185
COM,9,32
COG,129,149
COK,9,30
CRI,257,194
HRV,170,63
CUB,115,141
CYP,69,233
CZE,160,78
CSK,222,161
DNK,356,268
DJI,4,77
DMA,43,101
DOM,44,54
COD,182,154
TLS,4,44
ECU,152,235
EGY,310,167
SLV,167,224
GBR,572,195
GNQ,29,72
ERI,11,45
EST,119,246
SWZ,46,117
ETH,132,151
FLK,6,23
FRO,40,161
FJI,97,84
FIN,190,400
FRA,417,245
GUF,46,79
GAB,125,129
GMB,50,98
GEO,73,118
DEU,695,292
GHA,286,155
GIB,30,59
GRC,208,216
GRL,24,40
GRD,76,90
GLP,97,95
GUM,23,67
GTM,154,176
GGY,37,23
GIN,169,162
GNB,40,76
GUY,81,129
HTI,186,161
HND,210,168
HKG,127,175
HUN,434,292
ISL,141,222
IND,140,174
IDN,208,240
IRN,272,99
IRQ,251,138
IMN,29,16
ISR,149,176
ITA,423,153
CIV,281,141
JAM,221,214
JPN,302,183
JEY,55,16
JOR,137,138
KAZ,48,103
KEN,243,242
KIR,0,10
UNK,16,15
KWT,237,173
KGZ,44,79
LAO,31,106
LVA,113,191
LBN,75,120
LSO,45,124
LBR,68,122
LBY,123,128
LIE,15,158
LTU,99,198
LUX,34,317
MAC,21,92
MDG,85,90
MWI,198,201
MYS,210,242
MDV,47,86
MLI,198,172
MLT,47,283
MTQ,139,87
MRT,37,120
MUS,68,130
MYT,3,10
MEX,439,230
FSM,1,6
MDA,45,133
MCO,5,4
MNG,19,46
MNE,35,44
MSR,9,27
MAR,247,130
MOZ,99,129
MMR,5,9
NAM,61,107
NPL,38,111
NLD,398,209
NCL,120,80
NZL,146,151
NIC,27,115
NER,47,106
NGA,267,143
NIU,0,2
PRK,144,105
MKD,69,108
GBR,165,332
MNP,2,20
NOR,293,328
OMN,167,171
GBR,5,16
PAK,38,118
PLW,0,2
PSE,50,84
PAN,132,190
PNG,35,60
PRY,255,273
PER,201,270
PHL,65,128
POL,351,258
PRT,296,173
PRI,22,75
QAT,221,186
IRL,220,185
ROU,305,210
RUS,356,156
RWA,82,100
SHN,0,4
KNA,71,74
LCA,66,103
MAF,14,27
SPM,0,7
VCT,64,43
WSM,16,31
SMR,1,158
SAU,298,184
GBR,371,244
SEN,233,154
SRB,124,82
SYC,13,82
SLE,78,113
SGP,168,280
SXM,10,19
SVK,119,104
SVN,85,102
SLB,72,68
SOM,10,85
ZAF,175,111
KOR,454,186
SSD,8,27
ESP,406,130
LKA,40,126
SDN,133,165
SUR,153,114
SWE,500,293
CHE,280,344
SYR,150,153
PYF,109,73
TJK,57,61
TZA,146,231
THA,237,254
TLS,1,7
TGO,119,167
TON,14,36
TTO,290,237
TUN,243,170
TUR,220,210
TKM,52,63
TCA,6,19
TUV,5,25
VIR,7,41
UGA,266,190
UKR,123,69
ARE,208,184
USA,294,246
URY,382,286
UZB,120,97
VUT,56,96
VAT,0,4
VEN,92,203
VNM,148,133
GBR,208,307
WLF,5,19
ESH,2,3
YEM,45,138
YUG,223,159
ZMB,328,200
ZWE,189,142